,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
417,BAYSIDE FIELDS,QUEENS       ,2.69,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,HICKMAN PLAYGROUND,BROOKLYN     ,2.656,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,ARBUTUS WOODS PARK,STATEN ISLAND,2.65,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,STARS & STRIPES PLAYGROUND,BRONX        ,2.646,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
421,P.O. SERRANO PLAYGROUND,BRONX        ,2.618,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,COLEMAN PLAYGROUND,MANHATTAN    ,2.61,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
423,MARGARET I. CARMAN GREEN - WEEPING BEECH,QUEENS       ,2.6,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
424,KATHY REILLY TRIANGLE,BROOKLYN     ,2.589,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,RIVERDALE PLAYGROUND,BRONX        ,2.58,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,MARIE CURIE PARK,QUEENS       ,2.552,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,EDENWALD PLAYGROUND,BRONX        ,2.537,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,THOMAS GREENE PLAYGROUND,BROOKLYN     ,2.525,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,MURRAY PLAYGROUND,QUEENS       ,2.524,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
430,BATHGATE PLAYGROUND,BRONX        ,2.5,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,BIG BUSH PARK,QUEENS       ,2.5,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,JOSEPH RODMAN DRAKE PARK,BRONX        ,2.49,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,INDEPENCE PARK SYLVAN GROVE CEMETERY,STATEN ISLAND,2.476,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,ALLEY PARK,QUEENS       ,2.446,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,FREDERICK JOHNSON PLAYGROUND,MANHATTAN    ,2.445,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,DAMROSCH PARK,MANHATTAN    ,2.443,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,ASSER LEVY PLAYGROUND,MANHATTAN    ,2.436,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
438,HARRY MAZE PLAYGROUND,BROOKLYN     ,2.427,ONE ACRE OR LARGER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
439,LOST BATTALION HALL RECREATION CENTER,QUEENS       ,2.412,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,DUTCH KILLS PLAYGROUND,QUEENS       ,2.4,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,KOSCIUSZKO POOL,BROOKLYN     ,2.391,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,WEST PLAYGROUND,BROOKLYN     ,2.387,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,HOMECREST PLAYGROUND,BROOKLYN     ,2.372,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
444,DE MATTI PLAYGROUND,STATEN ISLAND,2.335,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,POE PARK,BRONX        ,2.331,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
446,OVERLOOK PARK,QUEENS       ,2.327,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,BARUCH PLAYGROUND,MANHATTAN    ,2.32,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,OSBORN PLAYGROUND,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
449,FLOYD PATTERSON BALLFIELDS,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,RAILROAD PLAYGROUND,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,TRIBORO PLAZA,MANHATTAN    ,2.3,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,POWER PLAYGROUND,BROOKLYN     ,2.295,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,MONSIGNOR CRAWFORD FIELD,BROOKLYN     ,2.291,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,MARTIN LUTHER KING JR. PLAYGROUND,BROOKLYN     ,2.29,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,P.O. REINALDO SALGADO PLAYGROUND,BROOKLYN     ,2.289,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
456,CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,STATEN ISLAND,2.288,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,CENTURY PLAYGROUND,BROOKLYN     ,2.282,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,SOUTH PACIFIC PLAYGROUND,BROOKLYN     ,2.264,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
459,NORTH SHORE ESPLANADE,STATEN ISLAND,2.252,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,FOX PLAYGROUND BROOKLYN,BROOKLYN     ,2.25,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,VLEIGH PLAYGROUND,QUEENS       ,2.243,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
462,LAREDO AVENUE PARCEL,STATEN ISLAND,2.223,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,FREDERICK B. JUDGE PLAYGROUND,QUEENS       ,2.217,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,BELMONT PLAYGROUND BRONX,BRONX        ,2.213,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
465,MAHONEY PLAYGROUND,STATEN ISLAND,2.21,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,ANCHORAGE PLAZA,BROOKLYN     ,2.2,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,ASTORIA HEIGHTS PLAYGROUND,QUEENS       ,2.2,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,HOYT PLAYGROUND,QUEENS       ,2.2,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,LORETO PLAYGROUND,BRONX        ,2.181,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
470,HARDING PARK,BRONX        ,2.16,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,WASHINGTON MARKET PARK,MANHATTAN    ,2.15,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,VIDALIA PARK,BRONX        ,2.136,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,UNNAMED PARK ON E 122ND STREET,MANHATTAN    ,2.13,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,BRIDGE PARK BROOKLYN,BROOKLYN     ,2.117,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
475,HAMILTON METZ FIELD,BROOKLYN     ,2.112,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
476,CARDOZO PLAYGROUND,QUEENS       ,2.096,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,CENTREVILLE PLAYGROUND,QUEENS       ,2.095,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,REDFERN PLAYGROUND,QUEENS       ,2.093,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,SHEEPSHEAD PLAYGROUND,BROOKLYN     ,2.087,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,STORY PLAYGROUND,BRONX        ,2.075,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
481,SAKURA PARK,MANHATTAN    ,2.067,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,LINNAEUS PARK,QUEENS       ,2.066,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,CASTLEWOOD PLAYGROUND,QUEENS       ,2.059,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,SKYLINE PLAYGROUND,STATEN ISLAND,2.057,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,CLOVE'S TAIL,STATEN ISLAND,2.056,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,DANIEL M. O'CONNELL PLAYGROUND,QUEENS       ,2.043,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,CHALLENGE PLAYGROUND,QUEENS       ,2.035,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,TORSNEY PLAYGROUND,QUEENS       ,2.027,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
489,LOCUST MANOR PLAYGROUND,QUEENS       ,2.003,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,PLAYGROUND ONE THIRTY FOUR CXXXIV,BRONX        ,2.0,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,FULTON PARK,BROOKLYN     ,1.987,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,ANDREW HASWELL GREEN PARK,MANHATTAN    ,1.984,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,MOORE HOMESTEAD PLAYGROUND,QUEENS       ,1.978,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
494,MCLAUGHLIN PARK,BROOKLYN     ,1.976,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
495,COLONEL DAVID MARCUS PLAYGROUND,BROOKLYN     ,1.974,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
496,SUMNER PLAYGROUND,BROOKLYN     ,1.97,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,ROSEMARY'S PLAYGROUND,QUEENS       ,1.967,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
498,SAUL WEPRIN PLAYGROUND,QUEENS       ,1.964,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,FREDERICK DOUGLASS PLAYGROUND,MANHATTAN    ,1.945,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
500,UNNAMED PARK ON HEMPSTEAD AVENUE,QUEENS       ,1.94,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,BRIDGE PARK 3,BROOKLYN     ,1.934,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,THE PAINTER'S PLAYGROUND,QUEENS       ,1.932,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,ROBERTO CLEMENTE BALLFIELD,BROOKLYN     ,1.93,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,TERRACE PLAYGROUND,STATEN ISLAND,1.922,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,TRAVERS PARK,QUEENS       ,1.919,ONE ACRE OR LARGER,0.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0
506,BUFANO PARK,BRONX        ,1.904,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
507,DIMATTINA PLAYGROUND,BROOKLYN     ,1.9,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,HERMAN DOLGON PLAYGROUND,BROOKLYN     ,1.894,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,GORMAN PARK,MANHATTAN    ,1.89,ONE ACRE OR LARGER,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
510,WILLIS PLAYGROUND,BRONX        ,1.882,ONE ACRE OR LARGER,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
511,WEST BRONX RECREATION CENTER,BRONX        ,1.88,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,THOMAS PAINE PARK,MANHATTAN    ,1.875,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,CARROLL PARK,BROOKLYN     ,1.874,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,COLGATE CLOSE,BRONX        ,1.871,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,LONDON PLANETREE PLAYGROUND,QUEENS       ,1.837,ONE ACRE OR LARGER,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
516,SUTTER BALLFIELDS,BROOKLYN     ,1.836,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,TAAFFE PLAYGROUND,BROOKLYN     ,1.821,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,GIVAN SQUARE,BRONX        ,1.82,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,THOMAS BOYLAND PARK,BROOKLYN     ,1.82,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
520,HAROLD ICKES PLAYGROUND,BROOKLYN     ,1.816,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,REV J POLITE PLAYGROUND,BRONX        ,1.815,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,MAPES BALLFIELD,BRONX        ,1.806,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,MIDLAND MALLS,QUEENS       ,1.803,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,CEDAR PLAYGROUND,BRONX        ,1.8,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,BENNETT PARK,MANHATTAN    ,1.8,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,CONCH PLAYGROUND,QUEENS       ,1.8,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,RAYMOND BUSH PLAYGROUND,BROOKLYN     ,1.795,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,PLAYGROUND 52 LII,BRONX        ,1.793,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529,DR. GREEN PLAYGROUND,BROOKLYN     ,1.791,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,BRUST PARK,BRONX        ,1.79,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,LAURELTON PLAYGROUND,QUEENS       ,1.785,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,SIMEONE PARK,QUEENS       ,1.78,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
533,MANOR PARK,STATEN ISLAND,1.78,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,TAPPEN PARK,STATEN ISLAND,1.777,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,LUNA PARK,BROOKLYN     ,1.76,ONE ACRE OR LARGER,0.0,0.0,0.0,5.0,0.0,3.0,0.0,8.0
536,ALFRED E. SMITH PLAYGROUND,MANHATTAN    ,1.75,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
537,ELECTRIC PLAYGROUND,QUEENS       ,1.749,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,YELLOWSTONE PARK,QUEENS       ,1.745,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
539,CORONA GOLF PLAYGROUND,QUEENS       ,1.722,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,WILSON PLAYGROUND,BROOKLYN     ,1.721,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,NORTHERN PLAYGROUND,QUEENS       ,1.719,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
542,BARTEL-PRITCHARD SQUARE,BROOKLYN     ,1.711,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,DOUGHBOY PLAZA,QUEENS       ,1.71,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
544,CASTLE HILL LITTLE LEAGUE FIELD,BRONX        ,1.707,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,GRAND FERRY PARK,BROOKLYN     ,1.7,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,HAPPY WARRIOR PLAYGROUND,MANHATTAN    ,1.7,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,ALLEN MALL ONE,MANHATTAN    ,1.698,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
548,PLAYGROUND ONE TWENTY FIVE CXXV,MANHATTAN    ,1.691,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,STAR SPANGLED PLAYGROUND,BROOKLYN     ,1.687,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,PATTERSON PLAYGROUND,BRONX        ,1.683,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,MOUNT EDEN MALLS,BRONX        ,1.682,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,MIDLAND PLAYGROUND,STATEN ISLAND,1.681,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,ADAM CLAYTON POWELL JR. MALLS,MANHATTAN    ,1.679,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,BANNEKER PLAYGROUND,BROOKLYN     ,1.67,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,JAMES J WALKER PARK,MANHATTAN    ,1.67,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
556,WHITESTONE PLAYGROUND,QUEENS       ,1.662,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
557,EQUITY PARK,QUEENS       ,1.657,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
558,THURSBY BASIN PARK,QUEENS       ,1.657,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,BELL MALLS,QUEENS       ,1.652,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,LEIF ERICSON FIELDS,BROOKLYN     ,1.65,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,NEHEMIAH PARK,BROOKLYN     ,1.648,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
562,MARBLE HILL PLAYGROUND,BRONX        ,1.646,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
563,WAGNER HOUSES POOL,MANHATTAN    ,1.64,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,HARLEM LANE PLAYGROUND,MANHATTAN    ,1.635,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,CROWLEY PLAYGROUND,QUEENS       ,1.633,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,BURNS PLAYGROUND,BRONX        ,1.623,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
567,100% PLAYGROUND,BROOKLYN     ,1.616,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
568,JACKIE ROBINSON PARK BROOKLYN,BROOKLYN     ,1.607,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
569,IDA COURT,STATEN ISLAND,1.6,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,JENNIFER'S PLAYGROUND,STATEN ISLAND,1.6,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,REAL GOOD PARK,QUEENS       ,1.598,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,ALLERTON PLAYGROUND,BRONX        ,1.597,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,OCEAN HILL PLAYGROUND,BROOKLYN     ,1.595,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,BELLEVUE SOUTH PARK,MANHATTAN    ,1.593,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
575,MAZZEI PLAYGROUND,BRONX        ,1.59,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,DAG HAMMARSKJOLD PLAZA,MANHATTAN    ,1.59,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,KOLBERT PLAYGROUND,BROOKLYN     ,1.581,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
578,POOR RICHARD'S PLAYGROUND,MANHATTAN    ,1.58,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
579,OLMSTED-BEIL HOUSE PARK,STATEN ISLAND,1.58,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,TAYLOR PLAYGROUND,BRONX        ,1.578,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
581,JOAN OF ARC PARK,MANHATTAN    ,1.578,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,HARMONY PARK,BROOKLYN     ,1.56,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,BRIARWOOD PLAYGROUND,QUEENS       ,1.558,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,CLINTONVILLE PLAYGROUND,QUEENS       ,1.553,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,FLATBUSH MALLS,BROOKLYN     ,1.55,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,WASHINGTON PARK BROOKLYN,BROOKLYN     ,1.549,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0
587,JOHN HANCOCK PLAYGROUND,BROOKLYN     ,1.547,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,FRANK D. O'CONNOR PLAYGROUND,QUEENS       ,1.537,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0
589,OLD TOWN PLAYGROUND,STATEN ISLAND,1.534,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,HUGUENOT PONDS PARK,STATEN ISLAND,1.53,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,REIFF PLAYGROUND,QUEENS       ,1.529,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,RUSSELL SAGE PLAYGROUND,QUEENS       ,1.526,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,ROGER MORRIS PARK,MANHATTAN    ,1.524,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,BROAD CHANNEL PARK,QUEENS       ,1.52,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,SPUYTEN DUYVIL PLAYGROUND,BRONX        ,1.51,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,JOHN ALLEN PAYNE PARK,BROOKLYN     ,1.51,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,BULOVA PARK,QUEENS       ,1.502,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
