,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
140,ISHAM PARK,MANHATTAN    ,20.132,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,WILLIAMSBRIDGE OVAL,BRONX        ,19.749,ONE ACRE OR LARGER,0.0,0.0,4.0,3.0,0.0,0.0,0.0,7.0
142,BRANT POINT WILDLIFE SANCTUARY,QUEENS       ,19.556,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,BROAD CHANNEL AMERICAN PARK,QUEENS       ,18.768,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,THEODORE ROOSEVELT PARK,MANHATTAN    ,17.574,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,BENSONHURST PARK,BROOKLYN     ,17.5,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0
146,LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN     ,17.14,ONE ACRE OR LARGER,0.0,1.0,3.0,0.0,0.0,5.0,0.0,9.0
147,JOHN GOLDEN PARK,QUEENS       ,17.0,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,BAYVIEW TERRACE PARK,STATEN ISLAND,16.944,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,JONES WOODS PARK,STATEN ISLAND,16.93,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,FRANCIS LEWIS PARK,QUEENS       ,16.831,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,LEIF ERICSON PARK,BROOKLYN     ,16.8,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
152,EIBS POND PARK,STATEN ISLAND,16.505,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,RAILROAD PARK QUEENS,QUEENS       ,16.439,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,BREUKELEN BALLFIELDS,BROOKLYN     ,16.16,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
155,FRANZ SIGEL PARK,BRONX        ,15.99,ONE ACRE OR LARGER,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
156,THOMAS JEFFERSON PARK,MANHATTAN    ,15.524,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
157,ALICE AUSTEN PARK,STATEN ISLAND,15.524,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,MILL POND PARK,BRONX        ,15.496,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
159,SHERMAN CREEK,MANHATTAN    ,15.383,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,HARRIS PARK,BRONX        ,15.32,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,GOODHUE,STATEN ISLAND,15.064,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,MULLALY PARK,BRONX        ,15.049,ONE ACRE OR LARGER,0.0,0.0,4.0,4.0,0.0,2.0,0.0,10.0
163,TREMONT PARK,BRONX        ,15.0,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
164,CARL SCHURZ PARK,MANHATTAN    ,14.938,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
165,GRAND ARMY PLAZA BROOKLYN,BROOKLYN     ,14.257,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
166,VON BRIESEN PARK,STATEN ISLAND,13.938,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,MOTOR PARKWAY,QUEENS       ,13.894,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS       ,13.826,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,BEACH 17 PLAYGROUND,QUEENS       ,13.75,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,TUDOR PARK,QUEENS       ,13.543,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
171,AQUEDUCT WALK,BRONX        ,13.533,ONE ACRE OR LARGER,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
172,FATHER MACRIS PARK,STATEN ISLAND,13.469,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,STARLIGHT PARK,BRONX        ,12.93,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
174,JACKIE ROBINSON PARK MANHATTAN,MANHATTAN    ,12.772,ONE ACRE OR LARGER,0.0,0.0,7.0,0.0,0.0,2.0,0.0,9.0
175,BROOKLYN MUSEUM,BROOKLYN     ,12.66,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
176,BEACH CHANNEL PARK,QUEENS       ,12.624,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,GREENBELT NATIVE PLANT CENTER,STATEN ISLAND,12.247,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,BOWNE PARK,QUEENS       ,11.788,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
179,SETON PARK,BRONX        ,11.689,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,RUFUS KING PARK,QUEENS       ,11.5,ONE ACRE OR LARGER,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0
181,FRANK GOLDEN PARK,QUEENS       ,11.422,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,ST. JAMES PARK,BRONX        ,11.39,ONE ACRE OR LARGER,0.0,0.0,2.0,5.0,0.0,0.0,0.0,7.0
183,RICHMOND TERRACE WETLANDS,STATEN ISLAND,11.193,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,BARRETTO POINT PARK,BRONX        ,11.161,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
185,ST. ALBANS PARK,QUEENS       ,10.79,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,GEMINI FIELDS,QUEENS       ,10.761,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,GIVANS CREEK WOODS,BRONX        ,10.735,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,BETSY HEAD PARK,BROOKLYN     ,10.555,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
189,TOMPKINS SQUARE PARK,MANHATTAN    ,10.502,ONE ACRE OR LARGER,0.0,0.0,4.0,4.0,0.0,7.0,0.0,15.0
190,CPL. THOMPSON PARK,STATEN ISLAND,10.5,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
191,COMMODORE BARRY PARK,BROOKLYN     ,10.391,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
192,CADMAN PLAZA PARK,BROOKLYN     ,10.384,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,BROADWAY MALLS,MANHATTAN    ,10.242,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
194,STEEPLECHASE PARK,BROOKLYN     ,10.01,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,HUNTER'S POINT SOUTH PARK,QUEENS       ,10.0,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,9.934,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,HYBRID OAK WOODS PARK,STATEN ISLAND,9.763,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,WASHINGTON SQUARE PARK,MANHATTAN    ,9.749,ONE ACRE OR LARGER,0.0,0.0,4.0,1.0,0.0,9.0,0.0,14.0
199,BRYANT PARK,MANHATTAN    ,9.603,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,2.0,19.0,0.0,22.0
200,ROCKAWAY FREEWAY,QUEENS       ,9.404,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,BICENTENNIAL VETERANS MEMORIAL PARK,BRONX        ,9.395,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
202,SUNSET COVE PARK,QUEENS       ,9.375,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,ST. JOHN'S RECREATION CENTER,BROOKLYN     ,9.339,ONE ACRE OR LARGER,0.0,1.0,6.0,0.0,0.0,2.0,0.0,9.0
204,LINDEN PARK,BROOKLYN     ,9.322,ONE ACRE OR LARGER,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
205,HAFFEN PARK,BRONX        ,9.238,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
206,ALLISON POND PARK,STATEN ISLAND,9.2,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
